stars,title,body,date,version
5,"","Good morning",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","easy to reinstall &easy to access .",2026-05-23,18.9.0
5,"","all in One Best",2026-05-23,18.8.1
5,"","🤜🤜",2026-05-23,18.1.1
5,"","super",2026-05-23,18.9.0
1,"","blocked money for the stocks sold on trading day.",2026-05-23,18.9.0
5,"","very good 👍",2026-05-23,18.9.0
5,"","fast and smooth experience please add Oi profile indicator",2026-05-23,18.9.0
4,"","very nice",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","nice app",2026-05-23,Unknown
5,"","awesome",2026-05-23,18.9.0
3,"","pls add indicator layout saving feature across the devices , indicator applied keep getting deleted",2026-05-23,Unknown
1,"","xx eddddd द् द र dc d dc dc d dc dc y dc d d Dr srsly fd des e sd dc dddrddeu द् द से dde wd ßß de x dc ee sex dc de dg sd d",2026-05-23,18.9.0
5,"","very excellent 👍",2026-05-23,18.9.0
5,"","very nice",2026-05-23,Unknown
5,"","good",2026-05-23,18.9.0
3,"","# }}a",2026-05-23,18.8.1
5,"","best app",2026-05-23,Unknown
5,"","nice to see",2026-05-23,18.9.0
5,"","GOOD TRADING AAP",2026-05-23,18.9.0
4,"","I am giving you a 4star because you don't have Any us stock pls add as soon as possible",2026-05-23,18.8.1
5,"","Awesome 👍",2026-05-23,18.9.0
4,"","good",2026-05-23,18.9.0
5,"","easy for understanding, and good for investment.",2026-05-23,18.9.0
5,"","nice",2026-05-23,18.9.0
5,"","super",2026-05-23,18.8.1
5,"","nice for growth income",2026-05-23,18.9.0
5,"","Fabulous and Awesome App 🙂 Keep it up",2026-05-23,18.9.0
5,"","best app",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","nice app. i like it.",2026-05-23,18.9.0
5,"","go",2026-05-23,18.7.1
4,"","good 👍",2026-05-23,18.9.0
5,"","😊",2026-05-23,18.9.0
5,"","very nice app",2026-05-23,18.9.0
1,"","This app are very high levels brokege and withdrawal money problem any time",2026-05-23,Unknown
5,"","good",2026-05-23,16.68
5,"","भाई इसमें लोग जितना कमाते नहीं उतना ब्रोकरेज चार्ज मै चला जाता है",2026-05-23,18.9.0
5,"","ଭାଇ ଯଦି ଲାଇଫ ରେ ବଢ଼ିବାର ଅଛି ତ groww କର",2026-05-23,18.9.0
5,"","good",2026-05-23,18.9.0
5,"","best app",2026-05-23,18.9.0
5,"","User friendly. Stock buying and selling process is also very easy.",2026-05-23,18.8.1
5,"","Very good",2026-05-23,18.9.0
4,"","thank you",2026-05-23,18.9.0
3,"","index (Nifty50) chart pr vwap nahi dikhat hai update kre..",2026-05-23,18.9.0
5,"","superb",2026-05-23,18.9.0
5,"","good la",2026-05-22,18.9.0
5,"","good",2026-05-22,18.4.3
1,"","UPI option now removed and only net banking is available now",2026-05-22,Unknown
5,"","Very good you are simple growing trending app",2026-05-22,Unknown
5,"","iam just beginner I have learn stocks in groww app nice experience",2026-05-22,18.8.1
1,"","Pathetic app with totally useless customer service. They could not do the onboarding even after almost a week, always blaming the bank and everything but themselves. Imagine how bad they will be during actual use! Deleted data, closed account and uninstalled. Suggest you do the same.",2026-05-22,18.9.0
1,"","F&O Activation taking many days in this app,,No solution even after complaint to groww team from one week.Lets see",2026-05-22,18.9.0
5,"","aaaAawaaewaAe zW XE O P AAQQ a A walxsra",2026-05-22,18.8.1
5,"","good",2026-05-22,18.9.0
1,"","its as logging probable I'm not able to logging in this app since 2 months",2026-05-22,Unknown
5,"","good",2026-05-22,18.9.0
5,"","good",2026-05-22,Unknown
5,"","excellent 👌👌",2026-05-22,18.9.0
